id zone x y z chord Uref Ue delta delta_star theta tau_w cp cf beta_c Rt Rtheta PI u_tau mu rho nu dpdx
000 FPG 0.002653708429157868 0.03635797529618043 0.879627001312336 0.3048 30.0 21.400986064639245 0.005840000000000056 0.0001911507701099087 0.0001617234596247559 5.894884018254405 184.2110908129507 -6.549743084757719 -0.9877141240021116 90.37208983553393 237.47162072838083 nan 2.196975312901928 1.78e-05 1.2213071822273684 1.4574547877084544e-05 -36002.57017561923
001 FPG 0.006233138697351814 0.0440800352784591 0.879627001312336 0.3048 30.0 26.14737822943417 0.005960000000000107 -0.00029523028267308964 -0.00034771192063683213 9.645701928858633 183.690067935234 -10.290937451648233 1.1642651391670835 123.51848195746322 -622.1030133242432 1.1722139196486692 2.8141654672638827 1.78e-05 1.2179643546024057 1.4614549212986336e-05 -32297.295065406004
002 FPG 0.016570639234019066 0.05565991696841059 0.879627001312336 0.3048 30.0 33.700668586710734 0.005899999999999921 -0.00042332523368194446 -0.0005044519922864007 8.60685093699027 182.974637164874 -8.978475564370846 1.2212165577043796 84.65210731964943 -1158.9322074829904 1.2021720412531938 2.663252250193191 1.78e-05 1.2134438255867268 1.4668993837760315e-05 -20836.133139857815
003 FPG 0.029862850411670267 0.0644484901131445 0.879627001312336 0.3048 30.0 38.16359516004966 0.005900000000000046 -0.00040069339121231746 -0.0004859999914319841 7.439127422777418 182.4867484923919 -7.597501393726709 0.4929655103982773 64.61074173842843 -1261.1802635935912 0.7957755840144602 2.479163593669627 1.78e-05 1.2103518164370226 1.4706467787522152e-05 -7545.747554607769
004 APG 0.04465533636727161 0.06995473232802041 0.879627001312336 0.3048 30.0 39.93996931269354 0.005980000000000016 -0.00022382462540188416 -0.0003151691083401688 3.2131153356646944 182.5478828823615 -3.1438467443911113 -0.6894904128334404 27.02711999235971 -856.2178435306487 nan 1.6290585896223855 1.78e-05 1.210745620203801 1.4701684402545088e-05 7029.280981681005
005 APG 0.07614251139715507 0.07607051337685894 0.879627001312336 0.3048 30.0 40.08180434951479 0.005999999999999996 6.804650700903284e-05 -7.727373938921253e-05 1.0301414095547763 182.8299514253175 -0.9909688438243709 -0.22798307535203952 8.663249646899136 -210.98596528334267 0.30132622562834666 0.9217247181769188 1.78e-05 1.212535260552888 1.4679985464409184e-05 3039.257689017295
006 APG 0.10759605910412115 0.07932093530120198 0.879627001312336 0.3048 30.0 39.447348509145776 0.005979999999999992 0.00021119906158267307 1.1257982765275573e-05 0.6052839809718568 182.97549580459005 -0.5804655141812222 0.03526254691914061 5.154927302274121 30.27484611585724 0.5006279922088156 0.7062652120512332 1.78e-05 1.2134546498077108 1.4668862987850978e-05 1895.8862545302409
007 APG 0.15693463446164674 0.08166148283230446 0.879627001312336 0.3048 30.0 38.487793926146516 0.00598 0.0003295746600231883 6.94768306136374e-05 0.4096237480651938 183.100984803867 -0.39483400450245015 0.20013088632748674 3.5755535783079533 182.409749164774 0.6123143178672116 0.5808179744329879 1.78e-05 1.2142413860973147 1.4659358677610934e-05 1179.9381612117334
008 APG 0.20500860232044393 0.08193821873952242 0.879627001312336 0.3048 30.0 37.76663610965383 0.005879999999999999 0.0003973301782624256 0.00010456046599395705 0.4282968528236803 183.18019631066863 -0.4189474343144145 0.21077800450832038 3.7462253918166657 269.487983203621 0.619284873048206 0.5937869453643485 1.78e-05 1.2147407276521762 1.4653332678162065e-05 863.3813470244718
009 APG 0.2538170737240247 0.08099253874225651 0.879627001312336 0.3048 30.0 37.162015001735305 0.005860000000000003 0.00038054360412145984 0.00012260291763920201 0.6550972686679163 183.23060675522936 -0.7049175012734286 0.18111224432171888 5.803421951354609 311.0884322114727 0.5997966043238544 0.7341773667965051 1.78e-05 1.215356826763641 1.4645904485022234e-05 967.7268605191622
