id zone x y z chord Uref Ue delta delta_star theta tau_w cp cf beta_c Rt Rtheta PI u_tau mu rho nu dpdx
010 APG 0.3187252642031084 0.07810231932441884 0.879627001312336 0.3048 30.0 36.47552778378528 0.005939999999999998 0.00036549368305610657 0.00018507939431891784 1.9627118315866174 183.2943187199251 -2.0815313087573304 0.03743344185482402 17.95648795384842 461.0664005103255 0.5021500406803127 1.2706219654431115 1.78e-05 1.2156927393939565 1.4641857620103581e-05 396.9704974226997
011 FPG 0.3845619481331605 0.07363160735845006 0.879627001312336 0.3048 30.0 36.16736838870571 0.005840000000000006 0.0004890767769979341 0.0002667370178413563 1.4697403488226413 183.32777241747186 -1.537760353186365 -0.02923509052373109 13.332652260550939 658.938583121706 0.4546665974596986 1.0994815324167972 1.78e-05 1.2158072782295464 1.4640478239215912e-05 -161.08747294222786
012 APG 0.4494553298820806 0.06794318847325297 0.879627001312336 0.3048 30.0 35.857807395982995 0.005979999999999995 0.0003438999709612463 0.0002199868552616459 2.696662781432944 183.3476464036493 -2.611000692225655 0.020125611471731426 25.26527866663994 538.8309307500426 0.48997189172195776 1.4892489115723717 1.78e-05 1.2158837617475333 1.4639557299800505e-05 246.70559222662882
013 FPG 0.5149999259612156 0.06079672837242675 0.879627001312336 0.3048 30.0 35.646202975450976 0.005879999999999998 0.00036938508232450026 0.00018241273076736826 1.7026253131260178 183.359683010713 -1.7658961078910735 -0.0011431696139501386 15.77840625448394 444.1710625651762 0.4748669334006517 1.1833374834919255 1.78e-05 1.2159111551971238 1.4639227482960512e-05 -10.670250446446321
014 FPG 0.5791599429382563 0.052412640941975376 0.879627001312336 0.3048 30.0 35.58020178903943 0.0058600000000000145 0.0003539897738580084 0.00021146054499460783 2.3851528620346194 183.3692649827138 -2.3750251519521868 -0.007882627261384093 22.069140759851475 513.968670491473 0.4700472428334581 1.4005501399436386 1.78e-05 1.2159588983940428 1.46386526909002e-05 -88.91148451982761
015 APG 0.6446714968771791 0.04191232788222986 0.879627001312336 0.3048 30.0 35.33389071322632 0.00596000000000001 0.000519683384119159 0.00035036421599725826 1.7793017944938514 183.38565713790445 -1.7381244332306809 0.11098469873965762 16.861042098811872 845.7838137178873 0.5528569042284933 1.2095970667532623 1.78e-05 1.21609685897485 1.4636992003256312e-05 563.6285459882057
016 APG 0.708990834311748 0.02903833919143689 0.879627001312336 0.3048 30.0 34.58140009100467 0.005900000000000017 0.0007529074554637639 0.000419146148848965 0.9337265382623516 183.44192783632928 -0.9225296099942207 0.19134027759596106 8.949713633240396 990.5205561847639 0.6065392106763179 0.8761372191761326 1.78e-05 1.2163972859772918 1.4633376944522627e-05 426.24629981799546
017 APG 0.773694042710086 0.013426938437251294 0.879627001312336 0.3048 30.0 33.66557347102893 0.005980000000000003 0.0009614016678616886 0.000539998047398795 0.8408956671591234 183.51406497953747 -0.9196879113388496 0.4661666234892872 8.391455186256742 1242.8468694758626 0.7796128879584079 0.8312685464102231 1.78e-05 1.2169126867836313 1.4627179249027636e-05 725.9239098263724
018 APG 0.8379811095597317 -0.004394465713799719 0.879627001312336 0.3048 30.0 32.68505276138208 0.005979999999999974 0.001236999264679281 0.0007269842137297643 0.984075998815619 183.60775120989203 -1.0047171274819244 0.5145578270255142 10.11487758275501 1625.2213337903042 0.8087188970725212 0.8990526940992115 1.78e-05 1.2174702177410173 1.462048084677374e-05 696.5268268765377
019 APG 0.8851126014068571 -0.01864048654869039 0.879627001312336 0.3048 30.0 31.363843721548207 0.005980000000000011 0.0014171983303221626 0.00085567838234124 1.6081793352836098 183.7035697496461 -1.5704320404381935 0.6006455210358049 17.226076743940943 1836.411910968224 0.859657764172945 1.149058415281951 1.78e-05 1.2180083394397079 1.461402145094353e-05 1128.865394632845
020 APG 0.9337416228848113 -0.034193266748400786 0.879627001312336 0.3048 30.0 29.6845910172668 0.005999999999999999 0.0013460409789820306 0.0008104330050112995 0.391024933102306 183.8017570614855 -0.3930498997130423 2.4347298966840722 4.440221431679082 1647.1020014626422 1.793767244574065 0.5664428134148372 1.78e-05 1.2186873636750775 1.4605878858317085e-05 1174.730161637235
021 APG 0.9643398416358192 -0.04464188720557359 0.879627001312336 0.3048 30.0 28.36374489781291 0.005919999999999975 0.002203790533194038 0.0010419970057126192 0.45752599852710635 183.85364679655004 -0.04602326873508479 3.1973744340888253 5.364804634231116 2024.1029339306713 2.1330943355197873 0.61262767415993 1.78e-05 1.2190529086202855 1.4601499142597427e-05 1403.9214341322122
022 APG 0.9801843174225463 -0.050365543215419806 0.879627001312336 0.3048 30.0 25.853785074621833 0.005940000000000017 0.0024537607395102635 0.0011267256195139684 0.1575243436614254 183.89451281979893 0.026912735282828584 11.57170640004575 2.0332462841941785 1995.3397315995935 5.181034511671254 0.3594401317878809 1.78e-05 1.2192550108920128 1.4599078815331203e-05 1617.8077644992472
023 FPG 0.9933415414908776 -0.055642620897587446 0.879627001312336 0.3048 30.0 21.97273467048309 0.005860000000000008 0.0019332928190851947 0.0011413006515852717 5.910086070477662 183.75067712162047 -0.726883575787743 -3.017571553506528 88.54974358602358 1715.7103394154333 nan 2.202961999729188 1.78e-05 1.2178107239531815 1.4616392884288903e-05 -15626.125841842739
