freq correl
1.000000e-02 2.110395e+02
4.008016e+01 5.265434e-02
8.016032e+01 2.632717e-02
1.202405e+02 1.755145e-02
1.603206e+02 1.316359e-02
2.004008e+02 1.053087e-02
2.404810e+02 8.775724e-03
2.805611e+02 7.522049e-03
3.206413e+02 6.581793e-03
3.607214e+02 5.850483e-03
4.008016e+02 5.265434e-03
4.408818e+02 4.786759e-03
4.809619e+02 4.387862e-03
5.210421e+02 4.050334e-03
5.611222e+02 3.761025e-03
6.012024e+02 3.510290e-03
6.412826e+02 3.290896e-03
6.813627e+02 3.097314e-03
7.214429e+02 2.925241e-03
7.615230e+02 2.771281e-03
8.016032e+02 2.632717e-03
8.416834e+02 2.507350e-03
8.817635e+02 2.393379e-03
9.218437e+02 2.289319e-03
9.619238e+02 2.193931e-03
1.002004e+03 2.106174e-03
1.042084e+03 2.025167e-03
1.082164e+03 1.950161e-03
1.122244e+03 1.880512e-03
1.162325e+03 1.815667e-03
1.202405e+03 1.755145e-03
1.242485e+03 1.698527e-03
1.282565e+03 1.645448e-03
1.322645e+03 1.595586e-03
1.362725e+03 1.548657e-03
1.402806e+03 1.504410e-03
1.442886e+03 1.462621e-03
1.482966e+03 1.423090e-03
1.523046e+03 1.385641e-03
1.563126e+03 1.350111e-03
1.603206e+03 1.316359e-03
1.643287e+03 1.284252e-03
1.683367e+03 1.253675e-03
1.723447e+03 1.224520e-03
1.763527e+03 1.196690e-03
1.803607e+03 1.170097e-03
1.843687e+03 1.144660e-03
1.883768e+03 1.120305e-03
1.923848e+03 1.096965e-03
1.963928e+03 1.074578e-03
2.004008e+03 1.053087e-03
2.044088e+03 1.032438e-03
2.084168e+03 1.012584e-03
2.124248e+03 9.934782e-04
2.164329e+03 9.750804e-04
2.204409e+03 9.573517e-04
2.244489e+03 9.402561e-04
2.284569e+03 9.237604e-04
2.324649e+03 9.078335e-04
2.364729e+03 8.924465e-04
2.404810e+03 8.775724e-04
2.444890e+03 8.631860e-04
2.484970e+03 8.492636e-04
2.525050e+03 8.357832e-04
2.565130e+03 8.227241e-04
2.605210e+03 8.100668e-04
2.645291e+03 7.977931e-04
2.685371e+03 7.858857e-04
2.725451e+03 7.743286e-04
2.765531e+03 7.631064e-04
2.805611e+03 7.522049e-04
2.845691e+03 7.416105e-04
2.885772e+03 7.313103e-04
2.925852e+03 7.212924e-04
2.965932e+03 7.115452e-04
3.006012e+03 7.020579e-04
3.046092e+03 6.928203e-04
3.086172e+03 6.838226e-04
3.126253e+03 6.750557e-04
3.166333e+03 6.665107e-04
3.206413e+03 6.581793e-04
3.246493e+03 6.500536e-04
3.286573e+03 6.421261e-04
3.326653e+03 6.343897e-04
3.366733e+03 6.268374e-04
3.406814e+03 6.194629e-04
3.446894e+03 6.122598e-04
3.486974e+03 6.052223e-04
3.527054e+03 5.983448e-04
3.567134e+03 5.916218e-04
3.607214e+03 5.850483e-04
3.647295e+03 5.786192e-04
3.687375e+03 5.723298e-04
3.727455e+03 5.661757e-04
3.767535e+03 5.601526e-04
3.807615e+03 5.542563e-04
3.847695e+03 5.484827e-04
3.887776e+03 5.428283e-04
3.927856e+03 5.372892e-04
3.967936e+03 5.318621e-04
4.008016e+03 5.265434e-04
4.048096e+03 5.213301e-04
4.088176e+03 5.162191e-04
4.128257e+03 5.112072e-04
4.168337e+03 5.062918e-04
4.208417e+03 5.014699e-04
4.248497e+03 4.967391e-04
4.288577e+03 4.920967e-04
4.328657e+03 4.875402e-04
4.368737e+03 4.830674e-04
4.408818e+03 4.786759e-04
