strouhal PSD[dB/Hz]
95969.0947043012 -21.0872802642
96743.0390164272 -19.9291382687
97516.9833285630 -19.2298220341
98290.9276406890 -21.9003435620
99064.8719528248 -20.5810809807
99838.8162649508 -19.9808579454
100612.7605770866 -21.7944776632
101386.7048892126 -20.4183380974
102160.6492013484 -19.1746425606
102934.5935134842 -19.5083320025
103708.5378256102 -19.8127026726
104482.4821377461 -19.1388668353
105256.4264498720 -20.5584270839
106030.3707620079 -20.3408002264
106804.3150741338 -20.6704511523
107578.2593862697 -21.3954101874
108352.2036983956 -20.8295331331
109126.1480105315 -21.6915445128
109900.0923226673 -23.0259964286
110674.0366347933 -22.3361704042
111447.9809469291 -22.0797527323
112221.9252590551 -23.4814377253
112995.8695711909 -24.9172173884
113769.8138833169 -24.9951963144
114543.7581954527 -26.3054762178
115317.7025075787 -28.7389340961
116091.6468197145 -27.2792442923
116865.5911318405 -28.2381433367
117639.5354439764 -29.5372539975
118413.4797561122 -29.0203970984
119187.4240682382 -30.6109309487
119961.3683803740 -30.3975618927
120735.3126925000 -25.3908773065
121509.2570046358 -28.9163722593
122283.2013167618 -29.3817674438
123057.1456288976 -26.0716006421
123831.0899410236 -27.0300823816
124605.0342531594 -29.1711502658
125378.9785652953 -26.6722022396
126152.9228774213 -28.5417360462
126926.8671895571 -27.8993871654
127700.8115016831 -27.9137239114
128474.7558138189 -27.0730307083
129248.7001259449 -28.6941186492
130022.6444380807 -26.9065073674
130796.5887502067 -27.6940050040
131570.5330623425 -27.4902986690
132344.4773744783 -28.0080144668
133118.4216866043 -27.2751097069
133892.3659987401 -28.8913690135
134666.3103108661 -27.6635184106
135440.2546230019 -27.5443910615
136214.1989351279 -28.8982390215
136988.1432472638 -28.7091949441
137762.0875593898 -28.5162171882
138536.0318715256 -29.5505338465
139309.9761836614 -29.5046496840
140083.9204957874 -29.1697015454
140857.8648079232 -30.8569020418
141631.8091200492 -29.5803499967
142405.7534321850 -30.0940077229
143179.6977443110 -30.6878095808
143953.6420564468 -30.8713106547
144727.5863685728 -29.6162343592
145501.5306807086 -30.5364568500
146275.4749928346 -29.6878718044
147049.4193049704 -29.0940806784
147823.3636171063 -29.5407528119
148597.3079292323 -28.4514113328
149371.2522413681 -29.6268072827
150145.1965534941 -28.3434484993
150919.1408656299 -29.3033996208
151693.0851777559 -27.5308039196
152467.0294898917 -30.2266050067
153240.9738020177 -28.1670820385
154014.9181141535 -29.7537022668
154788.8624262894 -28.5681715853
155562.8067384153 -31.2174533682
156336.7510505512 -29.3727652718
157110.6953626771 -31.5174176793
157884.6396748130 -30.7973019975
158658.5839869390 -32.0808920040
159432.5282990748 -32.3355229401
160206.4726112008 -32.8784040341
160980.4169233366 -33.7015750900
161754.3612354724 -33.7504188953
162528.3055475984 -35.2566502010
163302.2498597342 -34.8072285892
164076.1941718602 -35.6424986359
164850.1384839960 -36.3544905591
165624.0827961220 -36.2684347739
166398.0271082579 -36.6184896720
167171.9714203838 -36.9429610633
167945.9157325197 -36.9041626570
168719.8600446555 -37.4155808777
169493.8043567815 -36.8897619195
170267.7486689173 -38.0796634934
171041.6929810433 -37.3072137273
171815.6372931791 -38.1972767316
172589.5816053051 -37.9369062825
173363.5259174409 -37.7987968062
174137.4702295669 -38.7154204869
174911.4145417027 -37.3424545302
175685.3588538287 -39.2531405038
176459.3031659645 -37.0249733988
177233.2474781004 -39.2558369538
178007.1917902264 -36.8039756796
178781.1361023622 -38.3780910454
179555.0804144882 -36.6802842255
180329.0247266240 -37.1896468070
181102.9690387500 -36.6101275481
181876.9133508858 -36.1501183568
182650.8576630118 -36.3369537573
183424.8019751476 -35.4829409865
184198.7462872834 -35.8780355021
184972.6905994094 -35.2133962912
185746.6349115453 -35.3921799249
186520.5792236712 -35.2432249087
187294.5235358071 -35.1001281212
188068.4678479331 -35.3697375437
188842.4121600689 -35.0826254591
189616.3564721949 -35.5270890286
190390.3007843307 -35.2933359844
191164.2450964665 -35.6656297631
191938.1894085925 -35.5717320111
192712.1337207283 -35.7868486103
193486.0780328543 -35.7896179174
194260.0223449901 -35.8851723495
195033.9666571161 -35.8980844628
195807.9109692519 -36.0018991854
196581.8552813779 -35.9073012690
197355.7995935137 -36.1178531954
198129.7439056496 -35.9089097432
198903.6882177756 -36.2333729645
199677.6325299114 -35.9346591404
200451.5768420374 -36.2891605211
201225.5211541732 -35.9672420938
201999.4654662992 -36.3299319633
202773.4097784350 -36.0175360322
203547.3540905610 -36.3006113963
204321.2984026968 -36.0431231456
205095.2427148326 -36.2132265106
205869.1870269587 -36.0299509609
206643.1313390945 -36.0820874898
207417.0756512205 -35.9357942281
208191.0199633563 -35.9351972550
208964.9642754823 -35.7722858034
209738.9085876181 -35.7430663707
210512.8528997441 -35.5525142207
211286.7972118799 -35.5444973437
212060.7415240059 -35.2747936395
212834.6858361417 -35.3321777323
213608.6301482775 -34.9361212911
214382.5744604035 -35.1187275106
215156.5187725393 -34.5817803160
215930.4630846653 -34.8922780391
216704.4073968011 -34.2170441902
217478.3517089271 -34.6446033181
218252.2960210629 -33.8518260289
219026.2403331890 -34.4151364753
219800.1846453248 -33.4875913055
220574.1289574606 -34.1851977376
221348.0732695866 -33.1259259532
222122.0175817224 -33.9521084324
222895.9618938484 -32.7838360649
223669.9062059842 -33.7357844960
224443.8505181102 -32.4505767221
225217.7948302460 -33.5345012533
225991.7391423720 -32.1392238451
226765.6834545078 -33.3565605804
227539.6277666437 -31.8745104251
228313.5720787696 -33.1968585804
229087.5163909055 -31.6538697553
229861.4607030315 -33.0613514030
230635.4050151673 -31.4816136414
231409.3493272933 -32.9666273271
232183.2936394291 -31.3623971678
232957.2379515551 -32.8874582311
233731.1822636909 -31.2917760759
234505.1265758268 -32.8234531372
235279.0708879528 -31.2738001299
236053.0152000886 -32.7815512366
236826.9595122146 -31.2878232237
237600.9038243504 -32.7478118303
238374.8481364764 -31.3375415174
239148.7924486122 -32.7250413890
239922.7367607382 -31.4304451289
240696.6810728740 -32.6992091397
241470.6253850000 -31.5402289077
242244.5696971358 -32.6769763299
243018.5140092716 -31.6717792643
243792.4583213976 -32.6629377471
244566.4026335334 -31.8277516397
245340.3469456594 -32.6371010293
246114.2912577952 -32.0006050872
246888.2355699213 -32.6079779126
247662.1798820571 -32.1846040218
248436.1241941831 -32.5811676863
249210.0685063189 -32.3717202223
249984.0128184547 -32.5573861630
250757.9571305807 -32.5726340431
251531.9014427165 -32.5319927753
252305.8457548425 -32.7775779111
253079.7900669783 -32.5068460274
253853.7343791043 -32.9742267196
254627.6786912401 -32.5015008262
255401.6230033661 -33.1722656829
256175.5673155019 -32.5064231305
256949.5116276378 -33.3645225081
257723.4559397637 -32.5189140887
258497.4002518996 -33.5502763430
259271.3445640256 -32.5562970360
260045.2888761614 -33.7206741769
260819.2331882874 -32.6114691641
261593.1775004232 -33.8725599746
262367.1218125492 -32.6873085001
263141.0661246851 -34.0184910003
263915.0104368209 -32.7774578842
264688.9547489468 -34.1425522390
265462.8990610826 -32.8869344055
266236.8433732087 -34.2469636574
267010.7876853445 -33.0252172816
267784.7319974704 -34.3350134863
268558.6763096063 -33.1711428326
269332.6206217323 -34.4094048327
270106.5649338681 -33.3346810784
270880.5092459940 -34.4754601985
271654.4535581299 -33.5219940030
272428.3978702657 -34.5193975026
273202.3421823917 -33.7188859439
273976.2864945275 -34.5581635803
274750.2308066535 -33.9291849792
275524.1751187893 -34.5984096236
276298.1194309153 -34.1494424504
277072.0637430511 -34.6306357857
277846.0080551772 -34.3827467548
278619.9523673130 -34.6590938044
279393.8966794488 -34.6228686767
280167.8409915748 -34.6896597581
280941.7853037106 -34.8602356403
281715.7296158366 -34.7315154917
282489.6739279724 -35.1033202180
283263.6182400984 -34.7746423163
284037.5625522342 -35.3457620784
284811.5068643602 -34.8201351723
285585.4511764960 -35.5830777415
286359.3954886319 -34.8824572176
287133.3398007578 -35.8097044035
287907.2841128936 -34.9537161139
288681.2284250197 -36.0254572923
289455.1727371555 -35.0333587029
290229.1170492815 -36.2353829145
291003.0613614173 -35.1238482583
291777.0056735433 -36.4265812700
292550.9499856791 -35.2296500544
293324.8942978149 -36.5977675808
294098.8386099409 -35.3510921333
294872.7829220768 -36.7539169618
295646.7272342027 -35.4789347065
296420.6715463385 -36.8952800437
297194.6158584645 -35.6234888324
297968.5601706004 -37.0178755610
298742.5044827263 -35.7847429779
299516.4487948621 -37.1152837538
300290.3931069882 -35.9557280576
301064.3374191240 -37.2029611892
301838.2817312598 -36.1408929513
302612.2260433857 -37.2801343882
303386.1703555216 -36.3379187121
304160.1146676476 -37.3381235369
304934.0589797834 -36.5503325157
305708.0032919094 -37.3864504837
306481.9476040453 -36.7728583222
307255.8919161712 -37.4303781545
308029.8362283070 -37.0004282060
308803.7805404429 -37.4737357831
309577.7248525689 -37.2422339748
310351.6691647047 -37.5095850027
311125.6134768307 -37.4912340220
311899.5577889665 -37.5430902999
312673.5021010925 -37.7434426657
313447.4464132283 -37.5882895884
314221.3907253543 -37.9978239973
314995.3350374901 -37.6357010467
315769.2793496259 -38.2522402612
316543.2236617519 -37.6869861926
317317.1679738878 -38.5095761472
318091.1122860138 -37.7491907754
318865.0565981496 -38.7571102764
319639.0009102756 -37.8240186395
320412.9452224114 -38.9940634088
321186.8895345374 -37.9109820354
321960.8338466732 -39.2248229935
322734.7781588090 -38.0053989652
323508.7224709350 -39.4438116350
324282.6667830708 -38.1175655230
325056.6110951968 -39.6439954759
325830.5554073327 -38.2456837930
326604.4997194586 -39.8194735634
327378.4440315944 -38.3848896084
328152.3883437204 -39.9846713440
328926.3326558563 -38.5417027120
329700.2769679921 -40.1326024915
330474.2212801180 -38.7109477401
331248.1655922539 -40.2509759640
332022.1099043799 -38.8978089096
332796.0542165157 -40.3534496760
333569.9985286417 -39.0977538180
334343.9428407775 -40.4421936457
335117.8871529035 -39.3082899686
335891.8314650393 -40.5185349545
336665.7757771653 -39.5371967699
337439.7200893011 -40.5736898814
338213.6644014370 -39.7731371872
338987.6087135629 -40.6196860736
339761.5530256988 -40.0215463016
340535.4973378248 -40.6706392198
341309.4416499606 -40.2755020596
342083.3859620866 -40.7072660858
342857.3302742224 -40.5315393072
343631.2745863484 -40.7449629692
344405.2188984842 -40.8023550432
345179.1632106200 -40.7871489938
345953.1075227460 -41.0631364724
346727.0518348819 -40.8289134712
347500.9961470079 -41.3197038342
348274.9404591437 -40.8828569346
349048.8847712696 -41.5788972855
349822.8290834055 -40.9379333100
350596.7733955315 -41.8232349976
351370.7177076673 -41.0056523556
352144.6620198031 -42.0555871698
352918.6063319291 -41.0848857391
353692.5506440649 -42.2660099141
354466.4949561909 -41.1691750169
355240.4392683267 -42.4680377134
356014.3835804527 -41.2719107070
356788.3278925885 -42.6513178377
357562.2722047145 -41.3778765360
358336.2165168503 -42.7977707856
359110.1608289861 -41.4980532200
359884.1051411121 -42.9355788053
360658.0494532480 -41.6330624860
361431.9937653740 -43.0496816727
362205.9380775098 -41.7686577870
362979.8823896358 -43.1409565665
363753.8267017716 -41.9204955828
364527.7710138976 -43.2155361813
365301.7153260334 -42.0748890346
366075.6596381594 -43.2697100755
366849.6039502952 -42.2354455683
367623.5482624311 -43.3221737724
368397.4925745570 -42.4028607887
369171.4368866929 -43.3527969238
369945.3811988189 -42.5651192804
370719.3255109547 -43.3779347910
371493.2698230806 -42.7395255872
372267.2141352165 -43.4057345513
373041.1584473425 -42.9016082338
373815.1027594783 -43.4194803282
374589.0470716141 -43.0586468892
375362.9913837402 -43.4460504158
376136.9356958760 -43.2214771217
376910.8800080019 -43.4675419796
377684.8243201378 -43.3633398148
378458.7686322638 -43.4903912319
379232.7129443996 -43.5033887886
380006.6572565255 -43.5257135830
380780.6015686614 -43.6294517339
381554.5458807972 -43.5551469118
382328.4901929232 -43.7452085898
383102.4345050590 -43.6016750199
383876.3788171850 -43.8563316609
384650.3231293208 -43.6464102185
385424.2674414468 -43.9376126075
386198.2117535826 -43.6938288659
386972.1560657086 -44.0222477379
387746.1003778444 -43.7592451050
388520.0446899803 -44.0962580105
389293.9890021062 -43.8122537296
390067.9333142421 -44.1507158722
390841.8776263681 -43.8766345898
391615.8219385039 -44.2090117297
392389.7662506299 -43.9442220854
393163.7105627657 -44.2504118809
393937.6548748917 -44.0049820823
394711.5991870275 -44.2947407304
395485.5434991535 -44.0751162746
396259.4878112893 -44.3346978442
397033.4321234251 -44.1326363135
397807.3764355512 -44.3664968633
398581.3207476870 -44.1951639783
399355.2650598129 -44.4109670765
400129.2093719487 -44.2504117486
400903.1536840748 -44.4439766737
401677.0979962106 -44.2921099486
402451.0423083366 -44.4883383652
403224.9866204724 -44.3440345946
403998.9309326082 -44.5370405123
404772.8752447342 -44.3755653175
405546.8195568700 -44.5766770401
406320.7638689960 -44.4043508925
407094.7081811318 -44.6362184770
407868.6524932578 -44.4317283101
408642.5968053936 -44.6912491727
409416.5411175197 -44.4428212212
410190.4854296555 -44.7525054114
410964.4297417913 -44.4604860973
411738.3740539173 -44.8191593801
412512.3183660531 -44.4629323080
413286.2626781791 -44.8784087379
414060.2069903149 -44.4674314439
414834.1513024409 -44.9548192847
415608.0956145767 -44.4753939182
416382.0399267027 -45.0180031082
417155.9842388385 -44.4700993197
417929.9285509744 -45.0799037218
418703.8728631003 -44.4798285777
419477.8171752362 -45.1494412862
420251.7614873621 -44.4835515403
421025.7057994980 -45.2012486746
421799.6501116239 -44.4903519399
422573.5944237598 -45.2564911480
423347.5387358858 -44.5119817202
424121.4830480216 -45.2962764081
424895.4273601575 -44.5293296235
425669.3716722834 -45.3269695804
426443.3159844193 -44.5627102799
427217.2602965452 -45.3562007076
427991.2046086811 -44.5990304184
428765.1489208070 -45.3605044321
429539.0932329429 -44.6439613881
430313.0375450688 -45.3647579324
431086.9818572047 -44.7074616056
431860.9261693306 -45.3538269773
432634.8704814665 -44.7660982315
433408.8147936023 -45.3280511171
434182.7591057283 -44.8437818737
434956.7034178641 -45.3018269712
435730.6477299901 -44.9318580495
436504.5920421259 -45.2564721552
437278.5363542519 -45.0215586566
438052.4806663878 -45.2127724637
438826.4249785137 -45.1247541829
439600.3692906496 -45.1629738042
440374.3136027853 -45.2270045598
441148.2579149114 -45.1061172289
441922.2022270472 -45.3425424251
442696.1465391732 -45.0562699563
443470.0908513090 -45.4577572018
444244.0351634350 -44.9986506372
445017.9794755708 -45.5666404388
445791.9237876968 -44.9521435423
446565.8680998326 -45.6868118627
447339.8124119685 -44.9096950913
448113.7567240944 -45.7932566261
448887.7010362303 -44.8676979697
449661.6453483562 -45.8945128759
450435.5896604921 -44.8451302862
451209.5339726180 -45.9893487873
451983.4782847539 -44.8252860125
452757.4225968799 -46.0668442417
453531.3669090157 -44.8172818449
454305.3112211516 -46.1392335842
455079.2555332775 -44.8235898133
455853.1998454134 -46.1865408776
456627.1441575393 -44.8388988114
457401.0884696752 -46.2200760538
458175.0327818011 -44.8749110270
458948.9770939370 -46.2398527334
459722.9214060629 -44.9162230251
460496.8657181988 -46.2340375165
461270.8100303247 -44.9738347674
462044.7543424606 -46.2194468455
462818.6986545963 -45.0510250605
463592.6429667224 -46.1834792184
464366.5872788582 -45.1320568679
465140.5315909842 -46.1362797189
465914.4759031200 -45.2311864908
466688.4202152460 -46.0823778226
467462.3645273819 -45.3409035132
468236.3088395078 -46.0105590512
469010.2531516437 -45.4607107146
469784.1974637795 -45.9397208031
470558.1417759055 -45.5927540309
471332.0860880413 -45.8646333617
472106.0304001673 -45.7245931822
472879.9747123031 -45.7887810578
473653.9190244291 -45.8690891294
474427.8633365649 -45.7171322056
475201.8076486909 -46.0149165110
475975.7519608267 -45.6448188585
476749.6962729626 -46.1567937956
477523.6405850885 -45.5872545790
478297.5848972244 -46.3019010508
479071.5292093503 -45.5347501350
479845.4735214862 -46.4377037612
480619.4178336122 -45.4885832431
481393.3621457480 -46.5694142380
482167.3064578740 -45.4605511594
482941.2507700098 -46.6866151624
483715.1950821456 -45.4418427032
